attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,class
83,80,101744,21340,2743,50464,13668,10095,3013,1966,7
83,69,3595,10970,1269,16136,13329,7165,3608,1037,7
94,63,44967,11751,7490,12880,8766,9062,10548,3836,7
87,78,32346,9072,14113,20788,15346,7476,4430,1918,7
96,74,59054,15318,20426,10059,12972,13059,14052,2515,7
81,78,62213,64606,8143,58260,7268,10627,9576,3879,7
83,80,93556,16778,25959,10822,15112,15442,7011,2193,7
69,63,526726,223830,62956,32163,64515,21160,10550,10283,7
57,57,2168598,124685,60089,17513,31888,22011,9511,6365,7
61,54,144152,4694,2672,2376,1323,1018,163,208,7
34,27,495044,231612,1973,19206,16442,9431,4615,5379,7
60,40,1667456,46858,8501,17243,16643,11592,6812,7646,7
64,34,23129,31494,6679,13666,10664,7903,6803,2753,7
94,54,7439,22712,10137,6935,5302,12413,4733,1912,7
93,41,151394,6954,4957,5166,16372,5411,4268,3763,7
75,41,168983,101810,17856,16767,8062,6107,5174,2871,7
90,50,554881,10336,19882,5624,3508,17244,10809,2444,7
78,51,39000,26593,14282,7171,5718,6223,7090,3037,7
81,43,14036,19388,5115,2357,13640,10555,10168,3551,7
93,41,307587,45486,4498,11508,11117,6953,5808,3381,7
93,29,26024,8131,5903,4252,9823,13260,7082,5918,7
100,27,74855,28535,25018,9512,10129,35063,2975,6691,7
81,44,39942,39166,6010,9694,9742,6605,9593,2959,7
64,38,24040,34541,2813,6658,16846,6797,8262,3587,7
66,27,79850,10615,2461,4687,2385,14201,8606,3769,7
70,23,132911,68879,16307,11123,4622,8594,4142,3752,7
70,34,108563,35795,22047,14651,5368,8378,8258,885,7
70,41,18749,16257,1047,6940,4176,4244,4515,2842,7
47,38,313807,72149,11922,5563,15645,8089,6237,953,7
64,48,4752,8515,9616,5473,4322,9829,3226,2918,7
75,40,36763,13678,12825,2270,16805,9627,4786,2005,7
91,40,13000,10954,2575,10232,7452,19025,5071,2002,7
100,61,26884,13738,8845,22992,6362,11116,2389,4812,7
88,61,23910,32681,20428,14065,14614,9697,5947,2669,7
78,80,2237,6203,4395,19816,4343,3769,6082,2143,7
67,74,2346153,64551,16162,12295,17188,5565,4610,6725,7
69,84,6437,10576,6600,17568,1743,11172,6119,1713,7
69,64,396013,77393,7642,7513,12098,9992,5410,1770,7
57,70,394140,49458,32880,56623,10765,19471,9175,3433,7
70,74,29674,19098,2994,11266,9616,8784,7728,2840,7
64,74,21415,30386,41602,8622,6407,11323,5840,2468,7
88,81,12726,25424,454,9216,7043,15556,16427,4833,7
84,84,5844,27305,13612,12360,9257,9718,8053,4139,7
77,74,42879,55555,18941,8282,22111,5490,16015,4802,7
67,61,703536,45579,22622,9510,7009,11010,5485,5119,7
64,74,2312,6214,5714,6770,3657,6873,21737,2974,7
56,70,158577,71169,29713,11097,9969,7508,4508,2567,7
77,69,24370,11901,3970,4647,11471,12954,4061,5555,7
87,70,8993,7735,6109,16355,13671,12063,5211,4073,7
75,69,6821,12195,8726,8949,12974,3322,4203,7194,7
87,67,199949,32466,11532,7380,7425,10800,19303,2586,7
75,74,27945,15592,5315,4223,4544,4855,8860,3179,7
83,66,7590,7823,3848,6606,7024,14482,7076,6216,7
100,61,9857,6518,7628,12816,12773,32002,12372,3168,7
100,67,16845,10674,6293,8332,6430,4396,4651,4901,7
100,61,263297,27022,2316,5884,5862,10210,5690,5335,7
78,70,65914,58786,49245,20977,19014,8774,8942,7155,7
63,77,15883,28919,13903,19572,8565,14031,12427,2851,7
64,61,315970,35820,963,6769,6175,7769,6855,3477,7
90,63,20053,5926,1953,13731,2997,9699,6351,5700,7
35,80,56134,27232,6098,56339,16898,8251,9730,2191,7
40,81,168522,83504,56475,21271,73332,13584,2426,2016,7
41,77,850049,104640,45370,44573,66651,17274,12650,3368,7
37,83,2298725,140271,15911,70121,12896,11498,14498,2852,7
38,67,462039,40940,12700,6099,7113,7017,9900,3593,7
51,70,10902,10245,6294,11802,4387,12192,5471,2764,7
60,70,30639,30587,2701,23988,16738,13933,2557,1814,7
66,70,102586,27699,15698,4234,10844,4131,7067,1846,7
56,83,380045,74655,69725,31282,13687,6493,3830,2423,7
41,87,106433,33202,22460,19171,6211,6484,6572,3262,7
44,94,12270,14389,23766,13582,6869,18016,5536,3471,7
48,94,7327,10314,5052,13225,6504,5394,2207,1441,7
54,93,4560,21594,26380,6084,10212,8808,3852,2530,7
47,81,63548,60650,7687,21213,18983,11587,7843,4985,7
51,87,1399382,49165,22871,30687,8384,6120,6143,3021,7
47,81,113638,27905,23116,2917,7696,6673,3885,1251,7
57,75,2554,8854,2303,6603,4291,8874,1994,871,7
66,64,15959,15750,1621,2124,4628,7207,2931,2326,7
88,54,19906,11114,6275,4227,10510,11878,2825,5022,7
80,50,300243,41996,6049,11690,6667,3228,6536,3652,7
70,61,8247,14861,14967,22960,4968,10472,2494,2083,7
56,64,496086,55577,8789,4663,13047,5048,2570,2414,7
41,77,11931,9745,5738,6063,1435,2371,1026,1785,7
57,84,8847,5133,1460,10155,4427,5248,1688,1729,7
44,69,463991,55824,14316,9127,13884,3981,5174,1797,7
41,70,93054,141618,23500,13080,13251,7266,6437,1690,7
50,63,13021,12806,4863,4575,7321,5999,4716,902,7
51,56,4691,16781,4338,12368,10022,14203,4192,1147,7
70,61,7030,9669,6495,6335,2833,10896,3279,519,7
90,64,11095,20367,7468,4808,5345,8612,2591,1707,7
84,69,74728,23626,2577,18137,9211,7452,2955,3116,7
48,74,290879,115134,15887,12524,7628,11164,6578,1986,7
35,83,54159,71039,27608,11183,10021,16185,4556,4115,7
43,66,1159640,31895,7727,7588,2479,4873,4244,1425,7
44,77,221659,42951,6641,36011,33452,7595,6814,6323,7
44,63,687045,44720,3713,11043,2633,4864,3017,670,7
54,61,36324,11742,6419,2112,8229,8103,8794,1621,7
51,57,266557,42354,9314,5513,8787,4287,5329,2591,7
64,61,11343,8585,3593,9979,2379,7657,6365,3023,7
70,57,236717,40303,8956,3261,4217,8046,9149,1284,7
57,54,134262,103442,19912,9684,6700,9758,3611,6414,6
53,74,16654,7228,10288,5026,6800,10741,4496,1911,6
53,70,215897,48358,10961,36965,15880,8971,5011,804,6
51,74,132229,98513,29443,8853,13514,8873,11735,1680,6
51,83,234260,21373,14343,29156,8741,6038,3615,1905,6
48,87,882,8428,11954,5333,5555,8112,8079,1643,6
51,96,22969,12299,26505,31458,12811,8820,6448,3702,6
61,100,6344,17970,7474,10291,8985,6958,4395,4873,6
74,94,1185,5413,5039,7099,7002,5584,2639,3437,6
70,96,8684,4947,15223,11134,10197,10090,5152,1867,6
66,93,154138,67294,57477,41957,2772,12714,8194,11787,6
64,100,4248,8438,40930,13540,4643,10704,3090,2956,6
74,94,125984,8240,1722,3497,7723,9035,4391,3206,6
77,69,187303,78885,14357,21019,11784,5565,1633,2292,6
78,61,1316,10631,17289,4550,3795,6212,5770,1268,6
64,69,16977,21161,10068,8705,6138,5963,3040,4182,6
44,81,554105,33240,16901,29399,11789,6185,5518,1233,6
57,87,6879,27500,20011,7267,3695,12849,6273,2769,6
53,70,252633,58711,8113,12020,8888,7563,3094,1614,6
47,83,9177,26778,11908,58617,8714,7585,5577,4981,6
61,74,27618,13545,6216,5747,9744,8359,4864,2384,6
43,67,298867,158147,35120,31056,16311,7349,3050,915,6
51,77,5984,14156,2266,12594,7411,6979,4468,2274,6
61,56,2672,22646,7457,2870,11101,9044,5995,3227,6
53,63,3035,33432,15741,16274,6316,9600,1258,1307,6
53,63,444254,104307,5186,38345,4662,4818,8192,1054,6
50,69,13459,6303,6860,10460,7089,4062,3553,3563,6
41,66,9246,56768,5341,8869,7635,6951,4961,3160,6
66,64,8563,20385,4590,11687,8328,4422,2475,3496,6
66,61,27745,16238,6702,19078,8572,7549,4804,633,6
67,78,189922,7070,9734,10203,8368,3149,2446,876,6
63,78,123051,12629,13903,1880,11126,9051,2044,2058,6
57,80,43781,46918,30162,1650,6127,5841,3581,2436,6
56,78,27088,29647,4861,25506,8231,8550,4219,1543,6
56,70,18983,21941,6386,9310,5967,3945,9423,1503,6
50,74,33681,22135,12133,6007,6608,6168,5246,3548,6
63,74,26867,10196,6023,8816,8765,8770,2786,4425,6
61,78,11680,15517,32153,6453,8798,6828,5228,1977,6
51,75,338592,95344,28016,8194,5261,4718,6431,1314,6
56,77,8840,18646,12580,11129,6606,11719,5717,2162,6
57,75,7432,4857,4980,2759,8527,6095,1499,1350,6
60,69,86253,19807,18607,10872,10358,7286,2716,2358,6
75,75,14480,20775,7452,14540,7125,7257,6049,1145,6
81,64,8630,18198,7922,3970,7165,21734,5256,2045,6
93,54,114130,25579,4847,8793,8782,20269,4589,2446,6
87,53,26304,30667,6999,19339,12412,5482,6966,1156,6
74,63,9692,31927,23104,31876,15644,5989,3852,1703,6
61,69,13717,29640,8318,13804,4867,10269,2530,3887,6
50,80,35818,34885,10854,19098,5702,8463,9289,4023,6
56,78,234823,48018,12625,19112,12120,15540,8743,1559,6
69,67,35664,23835,2190,13961,5597,10377,1822,2517,6
77,66,8122,6542,2206,4786,3162,6674,1538,1008,6
66,48,358473,100578,3317,8586,5737,4415,4632,2232,6
56,47,326396,66438,11639,3166,18021,7676,1994,2085,6
44,50,16915,22207,12226,9507,11738,5668,3872,7719,6
56,53,334571,64868,4250,10799,13321,12667,14826,2624,6
53,44,247933,51972,8729,21129,4720,10305,2032,972,6
50,54,222617,31280,7217,13176,14339,7070,5002,1961,6
53,75,3870,7724,2169,18727,4321,5666,4998,2838,6
57,74,6998,26903,3629,14064,12761,10917,3560,2659,6
69,75,76869,33906,31300,8350,9936,15409,5642,3701,6
64,81,8766,36692,27040,4699,5404,6319,4172,1475,6
51,81,221428,45980,50383,12882,7199,4871,6640,2019,6
41,91,12975,18468,4981,28680,10988,4643,12350,2691,6
27,88,269151,96093,23687,36093,20329,7363,5894,2422,6
41,94,12536,4591,2842,22990,2879,11624,4857,4272,6
40,84,179364,87853,27397,14635,2607,4666,3902,2345,6
43,78,6161,19190,4041,9864,3241,4963,5629,1486,6
51,87,32211,22164,23004,16855,6219,7287,6313,3560,6
56,91,313099,29391,13496,55298,3873,9008,3349,6991,6
56,91,260671,22680,4480,12463,8998,5730,3365,2211,6
64,77,27586,17137,4268,8851,4301,9351,1717,914,6
66,47,326366,81057,5480,2399,7054,9352,4873,1656,6
78,53,4616,6080,12558,3963,3977,11532,1944,1417,6
77,67,25482,7704,19885,6947,1675,6634,4510,1673,6
74,70,88499,19162,8257,10767,4355,9662,3930,1647,6
78,100,6671,5306,6430,15404,5046,6017,3185,3982,6
75,90,41903,22906,6132,9678,10816,13183,4126,1939,6
74,66,396730,53452,5841,7412,4910,11063,3296,3114,6
77,63,4568,11142,7566,4857,10266,8062,2402,2866,6
83,56,7184,9647,4222,12011,1380,12271,6976,1826,6
69,56,373595,68018,19861,10170,6854,7095,3645,2850,6
74,61,10948,29522,3428,7953,9778,7598,4727,2126,6
61,66,35215,42863,21150,31544,10373,10645,3046,2287,6
54,66,5710,30122,9690,10695,4374,5735,8678,3601,6
64,80,13588,13150,10276,13234,5196,7294,1833,941,6
63,74,74912,79799,20656,4403,12612,8408,3880,2201,6
66,87,11981,8543,28959,8247,7582,7749,4096,7062,6
77,77,4573,3752,938,5242,7179,10477,1709,1002,6
75,60,277883,76579,8636,8391,9229,14903,2775,729,6
77,66,7087,41499,14877,11137,4089,7351,3996,1702,6
90,50,13557,8826,1029,7519,3972,14253,2406,979,6
80,47,14429,14348,5473,3418,15014,8265,1190,2067,6
81,64,1190,8128,7584,11066,8302,5815,4198,2189,6
80,50,255849,82976,5784,6888,7278,7689,2043,2681,6
67,57,15075,18719,5254,13197,2294,7377,4103,4973,6
61,47,226950,90650,2609,6318,10066,19402,2602,2222,6
53,37,232159,88562,16886,17312,10103,11105,8574,2162,6
66,48,15011,30191,13709,11136,10889,19791,6826,2261,6
56,57,99420,19375,19777,44060,8567,6007,5134,5435,6
35,63,264790,173693,9063,14007,10064,3817,3439,2843,6
47,75,1983,8101,7530,17562,6003,11731,2868,1025,6
44,83,19072,11794,10041,15780,4486,11154,4183,2578,6
63,67,8163,14982,5459,8904,4856,15729,2709,1704,6
81,84,50672,26134,6338,18160,4234,5914,2249,943,6
67,74,407202,44716,10841,7317,5321,5145,5211,2604,6
67,70,4722,12654,5784,14560,2653,9919,4632,1854,6
50,75,26541,47579,13051,31818,12168,6788,6927,2335,6
54,64,121864,52111,12005,6467,8783,14048,2749,1989,6
66,66,24176,25445,12969,6904,8030,13368,7459,2894,6
50,43,553777,449973,15653,24134,43203,20888,24676,3886,6
63,29,256051,11143,1537,2101,6743,4874,3285,607,6
70,43,359245,8466,33861,7834,14273,25261,8872,14419,6
63,43,152913,11609,12014,1811,17314,3061,3126,1036,6
83,69,368545,5085,7313,8350,4874,7351,1373,777,6
13,47,128821,139721,32961,9568,8035,7628,5815,1707,7
14,64,698983,64318,23507,13350,16859,8100,3170,3984,7
17,51,188894,51304,10377,3141,2190,3980,1039,807,7
20,61,270687,87486,46225,24422,14497,8120,6547,1859,7
27,43,477413,216292,3635,20023,30409,17930,12195,2862,7
34,37,69532,83598,10426,14116,12902,12531,6552,2114,7
38,30,284753,35096,4890,1760,6245,4392,1513,461,7
67,35,6782,15257,19195,5091,3460,6874,4113,4196,7
80,44,3586,5854,8199,4592,9251,7490,2254,3079,7
97,50,7095,8553,2862,3788,6142,10978,3991,1358,7
87,67,113931,31136,8337,10000,9363,5650,4334,1458,7
90,70,2796,4250,7291,7268,2486,5179,2315,1459,7
69,64,7799,46265,12058,4915,9536,2964,5754,2572,7
50,61,119860,67472,4162,10302,8642,7582,2498,6062,7
57,74,32835,3525,6577,11919,4911,5969,4359,2958,7
54,61,8630,12040,4077,5448,7780,4514,5872,2150,7
64,77,13785,5188,4921,9663,4591,2524,7195,1901,7
60,80,818071,90818,44507,31164,26864,8372,10809,1876,7
48,77,621488,336875,63692,48640,16076,27710,8475,5944,7
41,57,1041283,34426,2130,6419,4269,2742,2784,2592,7
30,61,214674,30851,24436,14544,15299,6611,4437,2081,7
38,64,25624,27007,11759,18666,6295,6440,4626,2280,7
34,77,407135,103196,74803,25240,3323,7335,5416,3090,7
30,81,333479,113736,29934,27117,32080,9386,10482,5331,7
27,80,354344,45990,27617,7654,7222,4323,2466,548,7
24,67,283443,64019,13971,8181,17953,6271,7336,5983,7
27,56,26441,15109,2669,3193,2891,1194,326,810,7
54,47,827952,165443,25530,9288,18910,28001,9269,6900,4
47,29,144637,64672,2773,581,858,2236,1284,349,4
50,29,229636,127980,27392,22913,11091,14429,9345,9453,4
34,38,923783,33034,25928,20625,5075,4261,6921,1786,4
44,47,269691,25437,14260,3246,8613,18450,12107,7229,4
56,81,31957,28920,8850,52447,4780,10207,4076,5536,4
60,88,784528,27566,22726,12098,22904,7721,3858,2995,4
44,57,265170,321350,12369,8355,11948,4500,7483,1298,4
38,61,10073,9636,6320,3609,3947,4496,3796,3196,4
38,23,16589,36805,5146,12258,7367,7931,6943,8280,4
54,40,473193,64511,8836,10597,9038,6599,2140,3315,4
51,53,738162,127418,14807,19677,15468,10029,8044,3670,4
54,57,22440,17203,11803,7145,13012,8185,2139,2881,4
53,27,372604,148847,3765,2272,8321,25090,3920,2228,4
47,20,207321,92311,4158,4389,6769,3806,2811,2254,4
54,30,391034,22459,16046,7482,5249,6877,7042,428,4
47,26,99707,72710,8945,16310,16937,8259,1515,3086,4
50,57,5565,6259,11426,2211,4063,4916,3188,1072,4
67,75,5580,10648,8190,2830,7163,4922,4484,1745,4
70,67,28275,42344,11437,13835,12322,15385,9965,1845,4
66,70,350437,77597,22534,8934,9416,5772,3151,1426,4
69,63,18930,19998,9990,5168,6824,12319,2953,1684,4
67,67,2577,16996,2108,23464,7089,7963,3846,1380,4
66,91,133650,25338,55478,6523,5216,6570,1768,2408,4
74,91,18785,7183,7320,3824,6978,13463,2302,2279,4
80,77,12431,17398,3664,2421,4639,8963,3061,1721,4
77,81,16978,19607,28395,8970,2319,5156,3487,1373,4
87,67,8004,26648,7818,9394,9913,7885,4737,1929,4
81,74,21818,8433,3764,10921,5956,10749,3154,5671,4
75,69,23505,27054,7960,4137,4201,8380,12015,3992,4
69,70,25639,37903,10300,22405,17415,8442,3565,1374,4
63,70,960671,42380,17966,29476,17880,16583,4838,3789,4
56,60,163068,100637,10632,12475,20616,5415,4499,2321,4
48,66,22609,47051,28537,9976,6638,7808,1114,3532,4
53,74,3426,10553,12509,11807,4475,8165,11969,1482,4
53,66,19710,20053,10395,1152,12778,6395,4790,3561,4
70,84,3632,5806,5967,16759,3938,7212,4112,1281,4
75,78,15101,24753,4855,4561,8066,7194,6875,2524,4
61,70,904841,246231,20858,17042,6564,14132,5127,4287,4
66,41,710123,33936,2028,7311,9069,6100,8182,6397,4
64,54,14930,18702,24102,11267,8848,9250,5954,2122,4
75,61,31524,37025,4314,8000,9204,7007,2751,851,4
40,53,380629,209800,23595,8373,8472,3413,4319,1016,4
47,57,9505,12692,3288,7459,8422,6198,2540,1364,4
51,40,2538,31436,4027,3361,7470,11568,7369,3739,4
43,48,453432,71216,39044,16091,19363,7573,2861,2028,4
63,63,48867,36775,13237,18855,7602,7569,4996,3968,4
67,64,325415,19018,10979,6140,3185,15539,6649,1804,4
61,77,16515,9097,1767,9344,6441,2895,5992,6011,4
69,77,11257,15787,9970,8751,13525,4837,3598,4487,4
69,66,9942,32089,6836,4536,11041,4815,3055,6651,4
61,70,164675,51215,15637,8404,9017,17315,2925,1873,4
69,69,56242,11601,3695,10842,10721,8023,4591,10223,4
88,66,26052,12648,3278,2810,5650,14644,4963,3051,4
69,61,72138,135047,108202,13520,5962,5013,4219,4417,4
75,53,572596,90189,10488,5082,6664,37953,5794,11163,4
56,47,610579,71608,9532,4229,17796,7542,9795,4059,4
75,38,8409,33212,6003,13246,16027,6079,5874,4419,4
56,51,12298,69822,29716,10920,8786,6371,3293,5857,4
34,47,1545961,372308,55602,11957,19859,18424,5614,6661,4
37,63,448960,75474,34515,44613,11733,18359,13134,4900,4
43,67,89876,8391,13022,13087,21097,9078,8091,3847,4
63,70,16431,29084,4861,5118,8468,9415,6546,3253,4
67,67,12940,21542,8005,12310,6061,7232,4575,2541,4
90,75,24348,10807,30340,6944,8212,14235,7595,3183,4
87,75,661998,78515,9408,15597,22553,20272,4950,3320,4
96,74,16962,6445,8755,11321,19596,12947,1541,4184,4
96,66,14010,11284,2825,4743,5801,10676,1492,4023,4
90,63,20350,9947,5076,23435,15719,5798,7344,2241,4
87,74,175389,87791,8174,58948,10305,20710,5470,3949,4
67,87,933,8120,6345,5882,2711,3242,4179,2120,4
64,78,95053,33463,13062,10610,19629,5890,5387,1622,4
61,78,165196,47116,25418,8113,5305,6918,4463,2970,4
50,77,47613,28179,7646,11080,7127,3720,4844,3536,4
48,63,106224,74155,12208,4973,9937,12635,9310,3245,4
44,64,640252,95913,40160,32170,26580,13063,7907,3244,4
43,67,533737,184423,156667,29732,12853,27958,62667,16912,4
17,57,40315,47882,6067,4806,3190,3910,5988,3858,4
11,54,992275,145547,48725,52454,24173,10364,4479,2286,4
17,60,1482924,20338,11325,7618,11119,2727,3623,1160,4
35,56,197039,49421,6793,7033,9109,8542,6063,2743,4
34,66,457719,86292,44782,12939,10200,8974,8593,3712,4
47,66,1868250,118295,111568,14346,47121,40652,14464,7338,4
41,44,317729,434499,2057,33466,46769,17516,7544,6947,4
38,54,352712,25059,15801,3038,4060,3890,2259,810,4
54,51,529600,29982,2349,29480,12832,24143,20194,4873,4
56,48,213232,46940,3936,25130,10243,14837,7587,6270,4
74,63,118292,29575,6458,18095,30286,12947,7327,9808,4
64,53,2274563,453104,68515,43929,46510,23698,15057,6770,4
51,88,383577,105620,79280,8306,12640,8586,7709,2554,7
53,94,16583,20656,24660,7556,4493,15081,5404,4342,7
51,93,8160,14665,21244,30930,11059,12774,5144,3080,7
50,90,63028,16159,2610,20112,25043,9244,5682,2066,7
54,87,12722,65905,36465,2771,12574,9011,5917,1300,7
50,81,19974,49743,18077,34929,19476,14789,5112,1465,7
50,67,1188269,171709,74505,20249,48214,37214,7285,3987,7
54,67,221457,35793,11095,13042,11358,9868,3428,1870,7
48,67,934923,68292,54339,8805,22993,8852,7927,1370,7
41,69,2903,23642,7995,10502,10039,6197,3521,2269,7
50,61,1578319,33573,7526,5921,36634,15704,10188,1873,7
35,56,259930,265286,54503,20133,26904,7786,3648,3112,7
27,60,194631,20644,15884,2960,4266,5152,999,1316,7
16,74,1819632,112039,72419,27488,15507,12849,6462,2980,7
30,80,42942,13385,7938,10288,25512,5836,6888,2016,7
35,83,582005,116066,102239,21946,11779,13644,4741,2164,7
40,78,45790,23914,13172,7485,16416,9742,4073,2887,7
43,66,742802,89845,11134,9980,11909,10387,5452,2743,7
47,70,37153,16056,9892,20906,12027,14271,7792,7255,7
35,66,362556,28037,12993,9587,2550,1053,586,436,7
35,70,72251,77115,14273,15739,14304,11811,9931,4502,7
27,70,51856,39088,10407,29158,5789,8251,9039,2730,7
34,84,2273,6274,7823,19309,5959,8482,4303,4486,7
60,80,28081,8257,5825,4047,4743,13466,4320,2250,7
67,87,21696,8955,2881,7101,1325,6062,5639,1690,7
69,75,61906,50409,15778,1835,10731,11416,7447,2289,7
77,66,9925,8880,13292,5446,6251,16016,2451,4027,7
64,67,52113,34903,4294,21660,7062,9067,8817,2044,7
48,57,28625,106479,60588,16464,13594,9297,2401,1541,7
43,57,75661,13510,19329,2745,9583,11798,7618,3962,7
29,47,163104,336362,49831,9604,13618,10574,6015,5120,7
40,63,92049,26195,3730,15043,5654,14006,9388,1912,7
43,48,26400,45397,4952,2215,3956,4507,4914,4047,7
38,40,37769,48708,9027,12393,14074,11427,5454,7988,7
47,50,183449,84608,30061,14353,11069,9641,3241,7565,7
29,61,388759,20662,28319,5532,5171,1994,1341,391,7
38,74,13889,9414,10434,3481,16068,6377,7683,2776,7
34,60,524946,110988,3153,7498,18981,10672,2827,1938,7
41,61,43854,13345,6942,10037,11959,6272,7715,3415,7
47,37,146746,126583,8598,6138,7332,10351,8945,877,7
50,38,48959,13298,21390,2721,17074,17686,3799,955,7
51,56,68279,43256,29811,4839,25748,7410,7353,3717,7
48,56,22453,23477,7593,9951,4983,6055,7718,1043,7
44,75,2241376,105401,71319,31868,33795,9755,14743,3385,7
43,78,28298,10692,20482,4789,8634,14138,6866,2747,7
35,70,114876,191469,36830,26261,49300,8644,3083,4577,7
34,64,512685,43690,10015,5584,7726,6331,3069,1183,7
40,60,73327,174348,56988,28765,11420,27563,9582,4388,7
21,34,345102,89261,1427,3135,6906,3794,2906,1733,7
23,30,29113,114397,21476,10296,17531,5973,3501,4899,7
37,26,13041,17111,4811,1281,7982,12958,5945,3678,7
40,23,8395,25996,2678,11433,16628,6225,8749,2316,7
57,47,3199,7896,4218,5753,5240,7871,2975,3520,7
69,57,23850,7967,9894,20094,25148,7955,6195,2573,7
64,75,18025,10516,8544,34996,31232,15038,9720,3420,7
69,78,19925,20036,11368,6447,4438,14011,4885,3700,7
60,88,37024,14881,41198,1785,6008,6601,4193,1907,7
44,90,357612,69576,56785,20911,13840,5746,4550,1775,7
37,90,91783,25267,4012,11129,2515,3748,1587,512,7
35,84,5825,22550,8449,3233,9117,6713,3787,12228,1
41,75,453197,39272,24841,20802,7415,20809,7469,3839,1
61,64,25464,12599,6533,4624,4898,14237,5814,3749,1
81,61,8437,5163,8581,3091,8745,24331,4514,2712,1
83,74,24165,6140,3984,17285,7075,6783,5751,1399,1
81,75,13024,10392,10096,7872,9353,5233,6086,2650,1
66,69,29070,74051,7615,8189,2948,7426,6954,1885,1
51,78,14078,22402,19803,7598,6363,10192,4826,5247,1
54,64,19167,22675,228,14866,10722,12525,9735,5760,1
56,57,32176,36720,9682,15254,17775,16725,3408,5717,1
54,56,1479988,216664,21419,11667,4710,15876,10716,5400,1
54,50,19437,19351,3325,10187,13557,7285,4056,1156,1
50,56,7923,19001,3297,14326,3982,5414,4817,1999,1
43,69,40527,23565,22446,32357,9191,9792,4620,860,1
57,83,15298,10973,1557,19232,9807,15906,4306,4412,1
48,83,248259,64958,27198,3321,12552,4960,7092,2642,1
53,81,2358,8023,3544,6089,3385,4627,7013,2231,1
44,70,505182,153316,64955,28290,33350,12832,11379,7546,1
41,61,412868,27301,5292,4196,5004,11058,3713,4569,1
51,61,54327,26494,848,13985,7980,8512,7350,6036,1
61,60,17396,6337,10417,9596,11136,23058,14534,1695,1
63,63,179696,88395,30307,50194,25682,10222,7456,6883,1
51,75,71485,57401,20742,37684,15869,8986,12586,2965,1
38,69,251378,44605,7841,5626,7255,1923,2443,1087,1
20,67,378066,29210,8312,5337,574,3438,2641,675,1
26,74,18902,24396,36397,5067,7973,8091,5788,8802,1
38,74,7956,7066,11360,8123,9395,10093,11959,2398,1
51,90,15061,12124,16465,12301,4290,7409,7267,6619,1
50,63,425450,247392,10400,16518,16180,12209,7936,5475,1
35,50,384605,279852,47148,11635,20620,18814,14989,5192,1
37,26,610793,10525,3353,7221,4797,10508,3202,2600,1
40,30,297939,238528,29266,13230,11443,15482,10347,7941,1
35,24,822169,585898,34668,30039,19646,16560,15580,4138,1
37,30,593123,65526,11410,8103,11813,11364,24339,11742,1
35,34,10435,8243,3061,6608,6687,6509,5766,9330,1
66,63,13760,10273,2045,13876,16758,8914,15389,13699,1
53,70,730727,106456,54769,20812,21797,22604,27201,23304,1
40,61,97829,65702,7225,6436,4405,4667,5149,3500,1
37,54,1074443,155570,46347,18268,39921,9975,8083,1640,1
44,50,16894,20229,987,10676,9629,11163,20371,14889,1
50,60,426978,55804,27862,12749,10090,12301,10118,5426,1
47,53,1127690,265629,24556,52924,39510,20045,10826,10184,1
40,56,561384,27922,5731,9213,5313,4882,11295,2681,1
40,48,895455,214553,51192,37886,99998,46804,7776,10892,1
44,40,88124,51958,3329,10508,12313,20510,10266,3771,1
41,53,377519,134887,104538,46343,23821,10385,11621,15498,1
48,41,165798,38550,880,5060,7807,10388,3781,2711,1
51,43,17993,13989,6426,3764,14063,6025,2907,1770,1
48,63,9533,8845,25218,8066,12804,9051,4152,3334,1
61,56,5874,11111,2280,13955,13508,6003,5796,4226,1
63,69,9345,15978,6120,4815,5596,8007,5863,3842,1
56,81,10772,19757,18190,6556,3146,4255,4185,5214,1
60,83,13788,6332,10445,17106,2089,11994,4682,2119,1
56,91,3558,18177,28108,18175,7637,9229,2884,2678,1
61,91,12340,17159,2610,12004,9878,16414,6122,2523,1
77,81,4621,13635,7775,3272,5306,15791,4583,4007,1
69,69,40159,19104,11478,7098,15637,5316,3696,1692,1
81,63,6983,2957,687,10648,5809,10134,10435,1860,1
67,54,4674,50132,8819,3048,6332,5710,5597,3700,1
67,56,973,12360,1921,12356,7826,17312,5694,3084,1
63,53,328645,83143,14478,17105,11345,8653,16079,3320,1
43,37,412458,211230,11651,14389,9952,14976,7250,5618,1
60,41,2951,11166,7713,4449,7194,14720,4909,2687,1
51,50,12754,8026,10296,7757,8579,6170,7197,2954,1
44,43,384138,154557,7432,19983,2822,5739,7854,1791,1
61,44,28853,15035,2225,687,2340,8221,2322,1742,1
57,50,4820,9794,7028,9627,11138,11031,6118,3862,1
63,44,19855,11682,7586,6552,3996,13309,16130,2620,1
78,57,16701,25826,8363,28680,11665,15178,5279,2701,1
75,77,22082,24025,22018,13786,12617,15510,6547,2051,1
69,75,9449,34110,10574,17741,15556,14437,3676,3780,1
64,74,656595,28377,8060,15443,17604,13275,5628,5205,1
60,75,16043,13842,5824,21589,7126,5909,5197,4310,1
51,75,22895,21157,5943,11633,2116,3675,5966,2270,1
50,75,8210,32283,5189,13048,3200,8846,5484,1762,1
51,80,12479,13065,968,16357,5165,9372,2423,6924,1
