attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,class
63,24,31661,27098,7336,13616,6440,5613,5049,1330,7
70,27,83268,52600,7546,12097,3738,7625,4547,988,7
67,35,51628,41705,5263,9776,4259,9458,3187,2301,7
67,43,12251,23201,27125,33513,14563,9479,4435,1442,7
54,48,1010784,42687,16044,10236,3851,2376,1288,541,7
38,40,378085,116876,6762,9644,13651,3362,1152,1167,7
38,53,95906,10204,53626,3526,28569,12062,1095,922,7
40,41,336932,143718,50291,48233,62342,33178,23572,8260,7
67,63,102623,50972,38485,14469,15658,16280,13926,2507,7
64,51,56839,93131,18684,10923,4907,13607,1850,1955,7
53,47,26676,103312,11424,17697,7873,7343,2122,1370,7
56,30,27368,43401,3069,9791,4843,4683,2071,820,7
35,30,35465,102356,32712,42770,13251,3957,2171,1343,7
37,26,451971,188392,13176,14034,12980,6640,3509,1629,7
34,30,118937,61835,19417,16616,20091,6130,1575,1789,7
43,23,32266,31264,12072,3423,20356,2987,2216,1056,7
41,40,7516,7066,7765,15941,1923,6513,1630,3672,7
53,51,89044,47280,20564,6226,4710,6195,2274,1027,7
53,64,118001,21560,60964,5541,11752,5315,5716,2142,7
57,61,23257,82284,14970,10978,19154,11792,1010,743,7
53,57,5745,10748,8065,15019,8704,4343,1778,1023,7
57,61,17814,10009,4414,8397,7747,3145,1952,967,7
56,47,1057594,151753,55647,12304,26855,10495,5875,1197,7
53,61,36126,28890,29619,13308,4700,5743,1404,3293,7
47,43,418250,147216,7248,18996,17375,10442,8977,1651,7
47,40,98309,141312,32980,10705,6013,8949,2169,1234,7
47,35,144667,48663,33582,16720,14552,8056,5801,2694,7
30,23,162107,99401,11898,4088,5539,4175,5310,1754,7
48,29,16922,52662,18396,7265,8753,21561,6369,2097,7
48,30,324916,170521,48966,24706,41970,11573,37382,11343,7
48,17,66853,38328,1463,5069,3071,3622,3013,1623,7
56,24,60737,29172,6221,6214,5441,3110,4313,2341,7
43,24,339319,82673,27601,9459,28182,10175,3133,1766,7
38,24,984145,196406,51965,16825,11010,9049,2975,3221,7
53,37,112876,11998,5853,4511,3543,6813,2496,942,7
57,34,1259799,48618,6181,11154,20581,8496,6158,4916,7
61,30,403061,72750,6378,23169,33180,11909,10395,2023,7
81,38,52742,11976,6460,9050,5562,4712,1543,2602,7
77,43,186151,14050,8499,8218,3275,7047,2718,791,7
66,50,369663,92706,40778,21996,22848,7885,3006,2312,7
54,44,788104,257921,14839,28391,41951,12858,5298,2079,7
38,40,940857,300325,121357,21561,7551,16929,5512,5197,7
64,40,1792,6530,5447,18725,14473,15950,2459,674,7
75,53,7352,65206,37959,7084,5761,11037,2447,1240,7
96,53,22600,16943,6049,7852,2420,8344,2740,2439,7
69,51,65707,76803,38728,14066,12651,2757,2134,800,7
44,51,113865,27111,6306,19941,6917,3369,1717,821,7
41,51,1096023,261691,53767,79453,33685,27966,3162,2248,7
29,48,1009491,345254,114214,58920,66958,51885,4717,2906,7
64,41,29668,19705,6379,7751,8991,18153,8824,3644,7
53,20,325715,95981,1338,3100,2985,2279,847,364,7
47,7,323907,158109,14508,2968,5553,6368,3618,319,7
51,11,89547,23081,13306,10083,12537,6440,2626,554,7
43,21,595756,38060,48899,10074,2733,20670,6930,2519,7
63,50,17467,24880,23708,10757,1701,8256,1662,3905,7
75,57,2691,30449,7424,4416,7186,4598,1822,728,7
63,60,34194,29251,16165,9205,8278,2581,1667,1401,7
37,44,59098,43719,22042,10514,5160,6229,1582,905,7
29,48,309452,88089,33393,12226,11304,7697,4699,1557,7
29,44,200463,29380,3152,13268,8950,1928,1714,318,7
43,44,64964,61062,6993,15305,7325,11084,3098,2358,7
44,40,259672,41872,15049,6826,13105,6485,1603,1174,7
34,35,642060,110620,23710,5442,5274,2765,5871,1623,7
35,40,84916,71211,18977,49062,14740,7650,2017,1204,7
26,47,54481,39863,18672,8544,3823,4481,5576,1692,7
27,44,1826457,111658,3998,33060,22988,18213,4095,8234,7
48,48,45142,59798,19415,10612,12818,8267,1823,2895,7
87,35,26455,22295,2332,24647,47467,27134,10788,4703,7
69,41,614724,41537,10151,16676,6148,1707,894,856,7
67,41,19239,59926,13605,16343,4616,7824,4082,4968,7
63,37,86958,76787,5556,12453,14043,12139,4153,3305,7
47,47,76737,61127,83044,38677,52077,21197,3977,2338,7
56,38,763870,102179,23210,4453,6335,7969,1265,311,7
69,44,281270,12592,13985,15136,7842,14001,13645,4069,7
66,54,370070,49194,25474,27272,25864,10005,6634,2299,7
61,56,6731,27626,26481,14453,7414,5151,6076,1056,7
50,47,116857,212426,7395,9390,6694,4120,4735,657,7
43,37,41797,23597,4127,8917,18872,6738,2424,1266,7
48,38,65768,43378,28570,16735,7083,13094,1829,2244,7
44,29,935206,123196,35794,24021,39673,11081,4009,2176,7
47,26,95431,408072,14168,12119,9368,9697,3003,1977,7
37,20,470047,68813,6820,3952,20441,6474,2333,1328,7
30,10,54003,40110,11386,7275,27598,5486,4641,1258,7
40,17,30384,16158,5386,17096,4526,4608,2511,598,7
50,29,387542,209106,26408,30787,16125,15533,3126,3588,7
37,27,325669,223373,17826,4054,9672,5895,2634,737,7
35,40,10008,17815,17922,8566,5156,2848,2067,1810,7
40,37,5389,8792,6861,7122,10454,4942,3180,1035,7
34,29,187450,87829,7212,3888,3921,3190,666,379,7
41,50,207570,30425,20866,9020,6931,3316,808,2574,7
48,48,87913,21802,19525,8309,4580,5687,3601,706,7
38,50,53779,52777,26651,25433,8776,9079,3896,1378,7
50,60,438189,173068,70670,17556,40627,23856,9064,5372,7
50,50,218698,224993,8012,57176,14281,15304,5942,3437,7
44,27,18457,28420,6700,7676,7959,5138,2676,1208,7
41,27,1181409,89675,23982,19132,14981,9819,2005,1975,7
35,37,253427,71140,34579,20699,14238,3651,2198,505,7
